price,area,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,type_of_building
2400000,715,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
5500000,1200,4,2,3,Ready to Move,Resale,,Semi-Furnished,,Flat
4900000,1390,3,2,,Ready to Move,Resale,,Unfurnished,,Individual House
40000000,2000,3,3,2,Ready to Move,Resale,,Semi-Furnished,,Flat
3300000,995,2,2,3,Ready to Move,Resale,,Unfurnished,,Flat
6500000,1200,3,2,2,Ready to Move,Resale,,Semi-Furnished,,Flat
6000000,1000,3,2,,Ready to Move,Resale,2,,,Individual House
4400000,1165,2,2,3,Ready to Move,Resale,,,,Individual House
14000000,2600,5,5,,Ready to Move,Resale,,Semi-Furnished,,Flat
6600000,1737,3,3,,Ready to Move,Resale,,,,Individual House
11500000,1890,3,3,,Ready to Move,Resale,1,,2,Flat
3800000,995,2,2,3,Ready to Move,Resale,1,,3,Individual House
5500000,1720,3,3,4,Ready to Move,Resale,,,,Flat
7000000,1100,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Flat
7500000,1592,3,2,,Ready to Move,Resale,,,,Individual House
10000000,1490,3,3,2,Ready to Move,Resale,,,,Flat
6000000,1000,2,2,2,Ready to Move,Resale,1,Furnished,1,Flat
14000000,2800,6,4,3,Ready to Move,Resale,,Unfurnished,,Flat
12000000,1835,3,3,4,,New Property,1,Furnished,2,Flat
8000000,1700,3,3,,Ready to Move,Resale,,Furnished,,Flat
7000000,1372,3,3,2,Ready to Move,Resale,,,,Flat
8300000,1400,2,2,3,,New Property,,Semi-Furnished,,Individual House
3800000,1015,2,2,2,Ready to Move,Resale,,,,Individual House
8500000,1424,3,2,,Ready to Move,Resale,1,,3,Individual House
3700000,1182,2,2,,,Resale,,Unfurnished,,Flat
4500000,1175,3,2,2,Ready to Move,Resale,,Semi-Furnished,,Flat
4200000,1040,2,2,2,Ready to Move,Resale,2,Semi-Furnished,3,Flat
5200000,1130,2,2,2,Ready to Move,Resale,2,,,Individual House
4500000,1385,3,3,3,Ready to Move,Resale,1,Unfurnished,2,Flat
30000000,4000,4,5,2,Ready to Move,Resale,4,Unfurnished,1,Flat
12000000,1875,3,4,4,Ready to Move,Resale,1,,2,Flat
2300000,885,2,2,3,Ready to Move,Resale,,,,Individual House
2800000,750,2,2,1,Ready to Move,Resale,,Unfurnished,,Individual House
9500000,900,2,2,2,Ready to Move,Resale,,Unfurnished,,Individual House
7000000,1715,3,3,2,Ready to Move,Resale,2,Semi-Furnished,,Flat
7500000,1150,2,2,2,Ready to Move,New Property,,,2,Flat
3550000,800,2,2,,Ready to Move,Resale,,Semi-Furnished,,Individual House
4200000,1350,2,3,2,,New Property,,Semi-Furnished,,Flat
4000000,700,2,2,,Ready to Move,Resale,,Unfurnished,,Flat
4700000,1156,2,2,2,Ready to Move,New Property,1,,,Flat
4160000,895,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
2700000,546,2,2,1,,Resale,,Unfurnished,,Flat
12900000,1945,3,3,4,Ready to Move,Resale,1,,2,Flat
6000000,1000,3,2,1,Ready to Move,Resale,2,Semi-Furnished,,Flat
5200000,900,3,2,1,Ready to Move,Resale,,Semi-Furnished,,Individual House
13600000,1852,3,3,3,,Resale,1,Unfurnished,3,Flat
8000000,1635,2,2,1,Ready to Move,Resale,,Furnished,,Individual House
5500000,1400,2,2,,Ready to Move,Resale,,Furnished,,Individual House
4500000,1290,3,2,3,Ready to Move,New Property,,,,Flat
5600000,1050,2,2,1,Ready to Move,Resale,,Furnished,2,Flat
3000000,554,2,2,,Ready to Move,Resale,,,,Flat
13400000,1789,3,3,,,Resale,2,Semi-Furnished,,Flat
25000000,3700,4,3,,Ready to Move,Resale,,Unfurnished,,Individual House
12000000,1350,3,2,2,Ready to Move,Resale,,,,Individual House
8900000,2025,3,4,2,Ready to Move,Resale,,,,Flat
3300000,913,2,2,1,Ready to Move,Resale,,,,Flat
12000000,1100,2,2,2,Ready to Move,Resale,,Furnished,,Flat
15000000,2268,3,3,2,,Resale,,Semi-Furnished,,Flat
7300000,1585,3,3,1,,Resale,,Unfurnished,,Flat
6000000,1100,3,2,1,Ready to Move,Resale,,Unfurnished,,Flat
4500000,840,2,2,3,,Resale,,Unfurnished,,Flat
2500000,940,2,2,2,Ready to Move,Resale,,,,Individual House
5500000,1505,3,2,,,Resale,,Unfurnished,,Flat
3500000,1100,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
4200000,1000,2,2,,Ready to Move,Resale,,Unfurnished,,Flat
3000000,840,2,2,2,Ready to Move,Resale,,,4,Individual House
5300000,1081,3,2,2,,New Property,,Unfurnished,,Flat
8600000,1765,3,3,6,Ready to Move,New Property,,,,Flat
2800000,540,3,2,1,Ready to Move,Resale,,Unfurnished,,Flat
8000000,1295,3,2,,Ready to Move,Resale,,,,Flat
4500000,1065,2,2,4,Ready to Move,Resale,1,,2,Individual House
6300000,1490,3,3,4,Ready to Move,New Property,,,2,Flat
3350000,1215,2,2,,Ready to Move,Resale,,Furnished,,Flat
8500000,1494,4,2,1,Ready to Move,Resale,,Semi-Furnished,,Individual House
4200000,1194,2,2,,Ready to Move,Resale,,Semi-Furnished,,Individual House
15000000,2000,3,3,5,Ready to Move,Resale,1,Semi-Furnished,,Individual House
6000000,1544,3,2,,Ready to Move,Resale,,,,Flat
5200000,1255,3,2,,Ready to Move,Resale,,,,Flat
8130000,1565,3,3,,,Resale,,Unfurnished,,Flat
4800000,985,2,2,2,Ready to Move,Resale,,,,Flat
9000000,1620,3,2,3,Ready to Move,Resale,,,,Flat
7000000,900,3,3,2,,Resale,1,Semi-Furnished,,Flat
3500000,985,2,2,3,Ready to Move,Resale,1,,3,Flat
4770000,1490,3,2,3,Ready to Move,New Property,,,,Flat
3000000,800,2,2,1,Ready to Move,Resale,,Unfurnished,0,Flat
5500000,1515,3,2,3,Ready to Move,Resale,,,,Flat
6100000,950,4,3,1,Ready to Move,Resale,,Furnished,,Individual House
4400000,1250,3,2,3,Ready to Move,Resale,,,,Flat
17500000,1920,3,4,2,Ready to Move,New Property,,Unfurnished,,Individual House
3500000,1125,3,2,3,Ready to Move,Resale,,Semi-Furnished,,Flat
4100000,1164,2,2,3,Ready to Move,Resale,,,,Flat
4500000,1350,3,2,3,Ready to Move,Resale,,,,Flat
4500000,720,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
3000000,900,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
25000000,3744,10,8,4,Ready to Move,Resale,1,Unfurnished,,Flat
4900000,1348,2,2,,Ready to Move,Resale,,,,Flat
5800000,915,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
10000000,2187,3,3,,,Resale,,Unfurnished,,Flat
3200000,998,2,2,,Ready to Move,Resale,1,Furnished,,Individual House
16200000,1920,3,3,3,Ready to Move,New Property,7,,2,Individual House
5000000,1350,3,2,3,Ready to Move,Resale,,Furnished,,Flat
5500000,1300,2,2,2,Ready to Move,Resale,,,,Flat
4700000,1100,2,2,4,Ready to Move,Resale,,,,Flat
2700000,645,3,2,3,,Resale,1,Unfurnished,,Individual House
3000000,650,2,2,,Ready to Move,Resale,,Furnished,,Flat
4800000,720,2,2,1,Ready to Move,New Property,,,,Flat
5800000,1100,3,2,,Ready to Move,Resale,,Semi-Furnished,,Individual House
4000000,800,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
7500000,1000,2,2,,Ready to Move,Resale,,Unfurnished,,Individual House
5100000,1356,3,3,3,Ready to Move,New Property,1,Semi-Furnished,,Individual House
4200000,1110,2,2,1,Ready to Move,Resale,,,,Individual House
5500000,1400,2,2,2,Ready to Move,Resale,1,Semi-Furnished,0,Individual House
3200000,985,2,2,2,Ready to Move,New Property,,,,Flat
3200000,1050,2,2,1,Ready to Move,Resale,,,,Individual House
10000000,1900,4,3,1,Ready to Move,Resale,,Unfurnished,,Individual House
2880000,858,2,2,,Ready to Move,Resale,,,,Individual House
5700000,1000,3,3,1,Ready to Move,New Property,1,Semi-Furnished,,Flat
9650000,1920,3,3,3,Ready to Move,Resale,1,,2,Flat
5300000,1400,3,3,,Ready to Move,Resale,,,,Flat
4200000,850,2,2,2,Ready to Move,Resale,,Furnished,,Flat
11500000,1900,3,2,3,Ready to Move,Resale,,Unfurnished,,Individual House
3500000,900,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Flat
7500000,1526,3,3,4,Ready to Move,Resale,2,,2,Individual House
3400000,900,2,2,,Ready to Move,Resale,1,Semi-Furnished,,Flat
3900000,1265,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
10000000,1950,4,4,,Ready to Move,Resale,,Semi-Furnished,,Individual House
7500000,1250,3,2,4,Ready to Move,Resale,,,,Individual House
13500000,2262,3,3,4,Ready to Move,Resale,1,,2,Flat
9800000,2000,4,4,2,Ready to Move,New Property,,Semi-Furnished,,Flat
7500000,2250,3,3,,Ready to Move,Resale,,Furnished,,Flat
13500000,2050,3,3,2,Ready to Move,Resale,1,,1,Individual House
12000000,990,2,2,1,Ready to Move,New Property,,Semi-Furnished,,Flat
5950000,1520,3,2,3,Ready to Move,Resale,,,,Individual House
11500000,900,2,2,2,Ready to Move,Resale,5,,,Flat
3200000,800,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
12000000,1500,3,3,2,Ready to Move,Resale,,,,Flat
6500000,1080,2,2,2,Ready to Move,Resale,,Unfurnished,,Individual House
3500000,1088,2,2,3,Ready to Move,Resale,,,,Individual House
3200000,1050,2,2,1,Ready to Move,Resale,,,,Individual House
6500000,1490,3,3,,Ready to Move,Resale,,,,Individual House
4000000,1185,2,2,2,Ready to Move,Resale,2,Semi-Furnished,1,Individual House
3000000,900,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
36700000,3670,5,5,4,Ready to Move,New Property,2,,,Flat
10700000,1920,3,3,1,Ready to Move,Resale,,,,Flat
5100000,713,2,2,2,Ready to Move,Resale,,Furnished,,Flat
24000000,2750,4,4,,Ready to Move,Resale,,Furnished,,Flat
10000000,1430,3,2,,Ready to Move,Resale,,,,Individual House
7200000,1470,3,3,5,Ready to Move,New Property,,,,Individual House
6500000,1742,3,5,4,Ready to Move,Resale,,Semi-Furnished,,Individual House
9500000,1570,3,3,,Ready to Move,Resale,,,,Flat
3100000,1000,2,2,,Ready to Move,Resale,,,,Flat
7000000,1320,3,2,4,Ready to Move,Resale,1,,,Flat
8500000,1350,3,3,3,Ready to Move,Resale,1,Unfurnished,0,Flat
8600000,1733,3,3,2,Ready to Move,Resale,1,,2,Flat
11500000,1728,3,4,2,Ready to Move,Resale,2,Semi-Furnished,1,Flat
5000000,700,2,2,,Ready to Move,Resale,,Furnished,,Flat
3700000,1075,2,2,2,Ready to Move,Resale,2,,2,Flat
5900000,925,2,2,2,Ready to Move,Resale,1,,0,Flat
12000000,3009,4,4,,Ready to Move,Resale,1,Unfurnished,,Flat
4500000,1285,3,2,2,Ready to Move,Resale,,,,Flat
8900000,1950,3,4,,Ready to Move,Resale,,,,Flat
3500000,840,2,2,,Ready to Move,Resale,,Unfurnished,,Flat
5500000,800,2,2,1,Ready to Move,New Property,,Semi-Furnished,,Flat
8960000,1250,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
4900000,1225,2,2,4,Ready to Move,Resale,,Unfurnished,,Flat
4500000,1540,3,2,,Ready to Move,Resale,1,Semi-Furnished,,Flat
4250000,1250,2,2,,Ready to Move,Resale,,,,Flat
12000000,2200,3,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
4700000,1350,3,2,2,Ready to Move,Resale,1,Unfurnished,0,Flat
9500000,1650,3,4,,Ready to Move,Resale,,Unfurnished,,Flat
9200000,1430,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
2900000,840,2,2,,Ready to Move,Resale,,,,Flat
7100000,1500,3,2,2,Ready to Move,Resale,,,1,Individual House
8500000,1650,3,3,3,,Resale,2,Unfurnished,,Individual House
9500000,1900,3,3,3,Ready to Move,Resale,,,,Flat
5000000,900,5,2,,Ready to Move,Resale,1,Unfurnished,,Flat
6200000,1554,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
7000000,1100,3,2,1,Ready to Move,Resale,1,Semi-Furnished,0,Flat
5000000,1300,3,2,2,Ready to Move,Resale,,Semi-Furnished,,Flat
4000000,1197,3,2,,Ready to Move,Resale,,Unfurnished,,Flat
9200000,2500,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
6000000,750,4,3,1,Ready to Move,New Property,,Unfurnished,,Flat
6500000,1160,3,2,2,Ready to Move,Resale,,Unfurnished,,Flat
2800000,720,3,2,,Ready to Move,Resale,1,Furnished,,Flat
4000000,950,2,2,1,Ready to Move,Resale,1,,,Flat
3900000,1170,3,2,4,Ready to Move,Resale,,,,Flat
4800000,1000,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
3150000,675,3,2,1,Ready to Move,Resale,,Semi-Furnished,,Flat
8000000,1000,8,6,,Ready to Move,Resale,,Unfurnished,,Flat
6500000,1270,3,2,,Ready to Move,Resale,,,,Flat
7300000,1730,3,3,2,Ready to Move,Resale,,,,Flat
4200000,1290,2,2,,Ready to Move,Resale,1,,,Flat
14000000,1970,4,4,,Ready to Move,Resale,,Semi-Furnished,,Flat
6800000,1280,3,2,3,Ready to Move,Resale,,Unfurnished,,Flat
5900000,1875,3,4,,Ready to Move,Resale,,,,Flat
4300000,1000,2,2,,Ready to Move,Resale,,Semi-Furnished,,Individual House
9950000,1350,4,4,,Ready to Move,Resale,,,,Flat
8400000,1000,2,2,2,Ready to Move,Resale,,,,Flat
3800000,900,3,2,3,Ready to Move,Resale,,Unfurnished,,Flat
13700000,1100,4,2,1,Ready to Move,Resale,,Semi-Furnished,,Flat
3450000,1000,2,2,2,Ready to Move,Resale,,Unfurnished,,Flat
9500000,1437,3,2,2,Ready to Move,New Property,,,,Flat
5200000,1320,2,3,3,Ready to Move,Resale,1,,2,Flat
5800000,1200,3,3,3,Ready to Move,Resale,1,,,Individual House
4100000,1000,2,2,2,Ready to Move,Resale,1,Semi-Furnished,,Individual House
10500000,1050,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Flat
3500000,750,2,2,,Ready to Move,Resale,,,,Flat
4700000,900,2,2,,Ready to Move,Resale,1,Semi-Furnished,,Individual House
5550000,1300,2,2,2,Ready to Move,Resale,,,,Individual House
14000000,3200,4,4,5,Ready to Move,Resale,,Semi-Furnished,,Flat
4200000,1165,2,2,2,Ready to Move,Resale,,,,Individual House
9000000,1100,3,2,2,Ready to Move,Resale,,,,Flat
5000000,1260,2,2,2,Ready to Move,Resale,,,,Individual House
5100000,1082,2,2,3,Ready to Move,Resale,1,,,Flat
4200000,1150,2,2,2,Ready to Move,Resale,,,,Individual House
10000000,2438,4,5,5,Ready to Move,Resale,1,Semi-Furnished,,Individual House
2550000,840,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
6000000,1575,2,3,,Ready to Move,Resale,,Unfurnished,,Flat
2300000,600,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
7410000,1446,2,2,,Ready to Move,Resale,,,,Flat
2500000,600,2,2,1,Ready to Move,Resale,,Furnished,,Flat
4000000,1165,3,3,4,Ready to Move,Resale,,,,Flat
5600000,1100,2,2,2,Ready to Move,Resale,,Furnished,,Individual House
4800000,1234,2,2,2,Ready to Move,Resale,,,,Flat
2650000,540,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
8200000,1650,3,2,3,Ready to Move,Resale,2,Semi-Furnished,,Flat
14500000,1300,2,2,,Ready to Move,Resale,1,Semi-Furnished,0,Flat
9000000,1700,3,2,3,Ready to Move,Resale,1,Semi-Furnished,,Individual House
4800000,1010,2,2,,Ready to Move,Resale,1,,,Flat
13500000,1500,4,3,,Ready to Move,Resale,1,Furnished,0,Flat
13000000,2230,3,4,5,,Resale,,Unfurnished,,Flat
12000000,1450,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
2400000,568,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
7500000,1725,3,3,3,Ready to Move,New Property,,,,Flat
4500000,1250,3,2,1,Ready to Move,Resale,,Unfurnished,,Individual House
6100000,1105,2,2,1,Ready to Move,Resale,,,,Flat
3200000,1000,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Individual House
13000000,1800,3,4,,Ready to Move,Resale,,Furnished,,Flat
4800000,1256,3,2,1,Ready to Move,New Property,,,,Individual House
13000000,2010,4,4,3,Ready to Move,Resale,,Unfurnished,,Flat
6300000,1454,3,3,3,Ready to Move,Resale,1,,1,Flat
3500000,800,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
7500000,1675,3,4,,Ready to Move,Resale,,,,Individual House
4200000,1050,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
11500000,2040,4,4,,,Resale,2,Unfurnished,,Individual House
2400000,900,2,2,,Ready to Move,Resale,,,,Individual House
6000000,1675,3,4,4,,Resale,1,Unfurnished,3,Individual House
3240000,1100,2,2,,Ready to Move,Resale,,,,Flat
7500000,1300,2,2,,Ready to Move,Resale,,Furnished,,Individual House
3600000,1030,2,2,,Ready to Move,Resale,1,,2,Flat
3500000,850,2,2,1,Ready to Move,Resale,1,Semi-Furnished,,Flat
11800000,2025,3,3,3,,Resale,,Unfurnished,,Flat
7500000,900,2,2,2,Ready to Move,Resale,1,Semi-Furnished,,Flat
4720000,1460,3,2,,Ready to Move,Resale,,,,Flat
5200000,1000,2,2,4,Ready to Move,Resale,,,2,Flat
11000000,1600,4,4,,Ready to Move,Resale,,,,Individual House
6000000,1305,2,2,,Ready to Move,Resale,,Unfurnished,,Flat
5200000,1035,2,2,3,Ready to Move,Resale,1,,2,Flat
5500000,1090,2,2,1,Ready to Move,Resale,1,,2,Flat
9500000,1551,4,3,3,Ready to Move,Resale,1,Semi-Furnished,0,Individual House
6000000,900,3,2,,Ready to Move,Resale,,Furnished,,Flat
6160000,1450,2,2,,Ready to Move,Resale,,,,Flat
3500000,995,2,2,,Ready to Move,Resale,,,,Flat
2800000,563,2,2,1,Ready to Move,New Property,,Semi-Furnished,,Flat
7500000,1680,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
2900000,845,3,2,3,,Resale,,Unfurnished,,Flat
8000000,1000,3,2,2,Ready to Move,Resale,,Furnished,,Flat
5200000,1130,2,2,3,Ready to Move,Resale,1,,2,Individual House
6000000,1300,3,2,,Ready to Move,Resale,,,,Individual House
2800000,675,2,2,2,Ready to Move,Resale,,Semi-Furnished,,Flat
4400000,1295,3,2,2,Ready to Move,New Property,,,,Flat
4500000,1200,3,2,,Ready to Move,Resale,,Furnished,,Flat
11000000,1750,3,3,3,Ready to Move,Resale,2,,3,Flat
5500000,920,2,2,,Ready to Move,Resale,,,,Flat
9410000,1600,3,3,,Ready to Move,Resale,,,,Flat
5000000,1492,3,2,3,Ready to Move,Resale,,Unfurnished,,Individual House
6950000,1800,4,3,1,Ready to Move,Resale,1,Semi-Furnished,,Flat
6800000,900,3,2,2,Ready to Move,Resale,2,Furnished,1,Individual House
7000000,1769,3,3,3,Ready to Move,Resale,,,,Individual House
15000000,1350,3,3,,Ready to Move,Resale,,Furnished,,Flat
4600000,720,3,2,,Ready to Move,Resale,,Furnished,0,Flat
3800000,1200,3,2,2,Ready to Move,Resale,1,,,Flat
6500000,1280,2,2,4,Ready to Move,Resale,,,,Flat
2800000,750,2,2,2,Ready to Move,Resale,,Semi-Furnished,,Individual House
6200000,1185,3,3,,Ready to Move,Resale,,,,Individual House
11400000,1830,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
3690000,1085,2,2,2,Ready to Move,New Property,,,,Individual House
6000000,1265,3,2,2,Ready to Move,Resale,,,,Flat
11000000,1350,5,3,,Ready to Move,Resale,,Unfurnished,,Flat
3000000,918,2,2,,Ready to Move,Resale,,Unfurnished,,Individual House
5700000,1255,2,2,3,Ready to Move,New Property,,,,Flat
7500000,749,2,2,2,Ready to Move,New Property,,Semi-Furnished,,Flat
10300000,1600,3,3,,,Resale,,Semi-Furnished,,Flat
4500000,1025,2,2,4,Ready to Move,Resale,,Semi-Furnished,,Individual House
4500000,781,2,2,2,Ready to Move,Resale,,Semi-Furnished,,Flat
3500000,1000,2,2,,,Resale,,Semi-Furnished,,Flat
3800000,1040,2,2,2,Ready to Move,Resale,,,,Individual House
14000000,1600,3,3,1,Ready to Move,Resale,,,,Flat
5200000,1200,2,2,2,Ready to Move,Resale,,Semi-Furnished,,Flat
3700000,900,2,2,1,Ready to Move,Resale,1,Furnished,,Flat
3900000,822,2,2,3,Ready to Move,Resale,,Unfurnished,,Flat
2200000,955,2,2,2,Ready to Move,Resale,,,,Flat
6800000,990,3,2,1,Ready to Move,Resale,1,Semi-Furnished,,Flat
4100000,750,2,2,,Ready to Move,Resale,,Furnished,,Flat
3600000,915,2,2,3,Ready to Move,Resale,,,,Flat
4200000,1350,3,2,2,Ready to Move,Resale,,,,Flat
7300000,1485,3,3,,Ready to Move,Resale,,,,Flat
7000000,1700,2,3,,Ready to Move,Resale,,,,Individual House
9000000,1650,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
17500000,2400,4,4,,Ready to Move,Resale,1,Semi-Furnished,,Flat
7500000,570,3,3,2,Ready to Move,Resale,,Unfurnished,,Flat
2700000,980,2,2,2,Ready to Move,Resale,,Semi-Furnished,,Individual House
4000000,1150,2,2,2,Ready to Move,Resale,,Unfurnished,,Flat
4800000,1075,2,2,,Ready to Move,Resale,,,,Flat
37500000,5000,8,7,,Ready to Move,Resale,,Semi-Furnished,,Individual House
7700000,1350,2,2,2,Ready to Move,Resale,2,,2,Flat
4450000,1135,2,2,3,Ready to Move,Resale,1,,2,Flat
8000000,1808,3,3,,,Resale,,Unfurnished,,Flat
6480000,1350,2,2,4,Ready to Move,Resale,,,,Flat
3500000,1045,3,2,2,Ready to Move,Resale,55,,,Flat
6500000,1300,2,2,3,Ready to Move,New Property,,,,Flat
11000000,1164,4,3,2,Ready to Move,Resale,2,,,Flat
5220000,1494,3,3,,Ready to Move,Resale,1,Semi-Furnished,4,Flat
6800000,1560,3,2,,Ready to Move,Resale,,Unfurnished,,Flat
4500000,850,2,2,,Ready to Move,Resale,1,Semi-Furnished,,Individual House
8740000,1245,2,2,3,,New Property,,Unfurnished,3,Individual House
11000000,1800,4,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
13000000,2525,4,6,2,Ready to Move,Resale,,Semi-Furnished,,Flat
5300000,965,2,2,2,Ready to Move,Resale,,,,Flat
4800000,645,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
5800000,980,3,2,2,Ready to Move,New Property,,,0,Individual House
7000000,1755,4,3,,Ready to Move,Resale,2,,,Flat
3500000,800,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
11500000,1545,3,3,,Ready to Move,Resale,,,,Individual House
2500000,750,2,2,,,Resale,,Semi-Furnished,,Flat
8500000,1446,2,2,2,Ready to Move,Resale,,,,Flat
8500000,1500,3,3,3,Ready to Move,Resale,,,2,Flat
6500000,1250,3,2,,Ready to Move,Resale,,Furnished,,Flat
3780000,955,2,2,,Ready to Move,Resale,1,,,Flat
6820000,1170,3,2,,Ready to Move,Resale,,Semi-Furnished,,Individual House
6000000,940,2,2,,Ready to Move,Resale,,Furnished,,Flat
4670000,1320,3,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
3200000,890,2,2,3,Ready to Move,Resale,1,,2,Flat
4500000,1100,2,2,,,Resale,,Unfurnished,,Individual House
4200000,850,2,2,,Ready to Move,Resale,,,,Flat
4200000,850,2,2,,Ready to Move,Resale,,,,Individual House
3200000,560,2,2,1,Ready to Move,Resale,,Furnished,,Flat
12500000,1350,3,3,2,Ready to Move,New Property,,Furnished,,Flat
13000000,1728,3,3,2,Ready to Move,New Property,,Semi-Furnished,,Flat
13500000,1950,4,3,3,Ready to Move,Resale,2,Semi-Furnished,,Flat
7400000,1345,2,2,,Ready to Move,Resale,,,,Individual House
8500000,900,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
7500000,1398,2,2,2,Ready to Move,Resale,1,,2,Flat
5500000,1156,3,2,,Ready to Move,Resale,1,,2,Flat
6200000,1250,3,2,3,Ready to Move,New Property,,,,Flat
6000000,1730,3,3,,Ready to Move,Resale,,Unfurnished,,Flat
11800000,1300,3,2,1,Ready to Move,Resale,2,Semi-Furnished,0,Individual House
4700000,950,2,2,1,Ready to Move,Resale,1,Semi-Furnished,,Flat
8500000,2095,4,3,2,Ready to Move,Resale,,,,Flat
12000000,1600,3,2,,Ready to Move,Resale,,Furnished,,Flat
12100000,1800,3,3,2,Ready to Move,Resale,2,Semi-Furnished,1,Flat
2500000,765,2,2,1,Ready to Move,Resale,1,Semi-Furnished,,Individual House
3000000,950,2,2,,,Resale,,,,Flat
11500000,2000,3,3,,Ready to Move,Resale,,Unfurnished,,Flat
9500000,1687,3,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
5900000,1317,2,2,3,Ready to Move,New Property,1,,3,Flat
3800000,1387,2,2,4,Ready to Move,New Property,,,,Flat
6200000,1365,3,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
8500000,1600,3,3,6,Ready to Move,Resale,,,,Flat
6500000,1200,3,3,2,Ready to Move,Resale,,Semi-Furnished,,Flat
3500000,800,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
7500000,1225,3,2,1,Ready to Move,Resale,,,,Flat
4500000,1224,2,2,,Ready to Move,Resale,,Semi-Furnished,,Individual House
18000000,2587,3,3,,Ready to Move,Resale,,,,Individual House
3200000,840,2,2,2,Ready to Move,Resale,2,Unfurnished,,Flat
3500000,1033,2,2,,Ready to Move,Resale,,Unfurnished,,Individual House
9710000,1765,3,3,3,,New Property,1,Unfurnished,,Flat
4700000,1245,3,2,4,Ready to Move,New Property,,,,Individual House
11500000,1400,3,3,,Ready to Move,Resale,,Furnished,,Flat
8200000,1739,3,3,4,Ready to Move,Resale,,,2,Flat
5500000,1875,3,3,3,Ready to Move,Resale,,,,Flat
17500000,1740,3,3,2,Ready to Move,Resale,1,,2,Flat
7540000,1985,4,4,4,Ready to Move,Resale,2,Unfurnished,,Flat
4600000,1000,2,2,3,Ready to Move,New Property,,,,Flat
12000000,2200,4,3,1,Ready to Move,Resale,,Semi-Furnished,,Individual House
9600000,1600,3,3,2,Ready to Move,Resale,2,Semi-Furnished,,Flat
8500000,1766,3,4,4,Ready to Move,Resale,,,,Flat
5000000,1680,3,3,5,Ready to Move,Resale,,,,Individual House
4000000,900,3,2,2,Ready to Move,Resale,,Furnished,,Flat
17500000,1658,3,4,2,Ready to Move,Resale,2,Semi-Furnished,1,Flat
14000000,2535,4,4,,Ready to Move,Resale,,,,Flat
6500000,1573,3,3,1,Ready to Move,Resale,1,,3,Individual House
4600000,940,3,2,1,Ready to Move,Resale,,Semi-Furnished,,Flat
5700000,1316,2,3,4,Ready to Move,Resale,1,,2,Flat
7500000,1710,3,2,3,Ready to Move,New Property,,Semi-Furnished,,Flat
12200000,1450,2,2,3,Ready to Move,Resale,,,,Flat
9000000,1000,2,2,1,Ready to Move,New Property,,,,Flat
4400000,1135,2,2,2,Ready to Move,Resale,1,,3,Flat
5100000,900,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
3800000,1031,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Flat
8550000,1200,2,2,,Ready to Move,Resale,,,,Flat
4000000,1090,2,2,,Ready to Move,Resale,,,,Individual House
5880000,1465,3,3,,Ready to Move,Resale,,,,Individual House
10500000,1100,3,2,,Ready to Move,Resale,,,,Individual House
4800000,1550,3,3,5,Ready to Move,Resale,1,,2,Flat
