price,area,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,type_of_building
12500000,1836,3,3,3,Ready to Move,Resale,2,,3,Flat
8500000,1495,3,2,,Ready to Move,Resale,,,,Flat
4200000,1040,2,2,2,Ready to Move,Resale,1,,3,Flat
82000000,5495,5,6,2,Ready to Move,Resale,3,,3,Flat
9000000,1250,2,2,2,Ready to Move,Resale,,,,Individual House
14000000,2500,3,2,1,Ready to Move,Resale,2,Semi-Furnished,,Flat
8900000,1815,3,3,,Ready to Move,Resale,,,,Flat
3200000,1041,2,2,3,Ready to Move,Resale,,,,Flat
15000000,2000,4,4,3,Ready to Move,Resale,2,,0,Flat
9200000,1960,3,3,3,Ready to Move,Resale,123,,2,Individual House
11500000,1963,3,3,3,Ready to Move,Resale,2,,2,Flat
6000000,1246,2,2,3,Ready to Move,Resale,1,,2,Individual House
3900000,1085,2,2,3,Ready to Move,Resale,,,3,Flat
3600000,995,2,2,3,Ready to Move,Resale,,,,Individual House
49000000,6168,5,5,3,Ready to Move,Resale,3,Semi-Furnished,,Flat
7500000,1260,2,2,,,New Property,1,,2,Individual House
18000000,1700,4,3,1,Ready to Move,Resale,1,,2,Individual House
17200000,2025,3,2,4,Ready to Move,Resale,2,,2,Flat
17000000,1600,3,2,2,Ready to Move,Resale,2,Semi-Furnished,3,Flat
5500000,1150,3,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Flat
13000000,2300,4,4,3,Ready to Move,Resale,,Unfurnished,,Flat
9900000,1760,3,2,4,Ready to Move,Resale,1,,3,Flat
7000000,559,2,2,,Ready to Move,Resale,,Unfurnished,,Individual House
5150000,1234,2,2,2,Ready to Move,Resale,,,,Flat
7500000,700,2,2,,Ready to Move,Resale,1,,,Flat
2630000,750,3,2,2,,New Property,,Unfurnished,,Flat
4600000,1000,3,2,,Under Construction,New Property,1,,1,Flat
7500000,1390,3,2,3,Ready to Move,Resale,1,,2,Flat
7000000,1326,3,3,3,Ready to Move,Resale,1,,2,Flat
5800000,1270,3,3,,Ready to Move,Resale,,,,Flat
5200000,1175,2,2,,Ready to Move,Resale,,,,Individual House
26000000,3755,4,6,2,Ready to Move,New Property,2,,5,Flat
20000000,1650,3,3,4,Ready to Move,Resale,1,,,Flat
3200000,800,2,2,1,Ready to Move,New Property,,Unfurnished,,Flat
8500000,1100,2,2,,Ready to Move,Resale,1,Furnished,,Flat
4320000,800,2,2,,Ready to Move,Resale,,,,Flat
6710000,1180,2,2,2,Ready to Move,Resale,1,,2,Flat
16900000,1935,3,4,2,Ready to Move,Resale,2,Semi-Furnished,1,Flat
12500000,1800,3,3,2,Ready to Move,Resale,1,,,Flat
5000000,1200,3,2,3,Ready to Move,Resale,,Unfurnished,,Flat
12000000,1250,2,2,2,Ready to Move,Resale,2,,0,Flat
2700000,770,2,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Flat
11000000,1200,3,2,,Ready to Move,Resale,,Furnished,,Flat
14000000,2500,5,5,,Ready to Move,Resale,3,Furnished,,Flat
7500000,1675,3,3,,Ready to Move,Resale,,,,Flat
12000000,2520,4,3,3,Ready to Move,Resale,,,,Flat
4100000,1000,2,2,2,Ready to Move,Resale,2,,2,Flat
3790000,1310,2,3,2,Ready to Move,New Property,1,,0,Flat
5200000,1065,2,2,3,Ready to Move,Resale,2,Semi-Furnished,3,Flat
